Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-11058,12839220,Make alter_merge* tests (ORC only) stable across different OSes,prasanth_j,prasanth_j,Major,Resolved,Won't Fix,19/Jun/15 19:50,23/Jun/15 21:46,
Bug,HIVE-14348,12992758,Add tests for alter table exchange partition,vgumashta,vgumashta,Blocker,Resolved,Fixed,26/Jul/16 23:13,21/Jul/17 17:55,
Bug,HIVE-20659,13188354,Update commons-compress to 1.18 due to security issues,bharos92,jornfranke,Critical,Resolved,Fixed,29/Sep/18 20:04,22/Mar/22 08:56,
Bug,HIVE-11023,12838213,Disable directSQL if datanucleus.identifierFactory = datanucleus2,sushanth,sushanth,Critical,Resolved,Fixed,16/Jun/15 16:26,19/Jun/15 03:24,
Bug,HIVE-15820,13040541,comment at the head of beeline -e,robbiezhang,muxin,Major,Resolved,Fixed,06/Feb/17 07:02,22/Mar/22 08:59,
Bug,HIVE-16100,13047939,Dynamic Sorted Partition optimizer loses sibling operators,vgarg,gopalv,Major,Resolved,Fixed,03/Mar/17 08:27,22/Mar/22 08:59,
Bug,HIVE-12812,12928724,Enable mapred.input.dir.recursive by default to support union with aggregate function,afan,ctang,Major,Resolved,Fixed,08/Jan/16 20:00,22/Mar/22 08:59,
Bug,HIVE-20441,13180507,NPE in GenericUDF  when hive.allow.udf.load.on.demand is set to true,dengzh,BIGrey,Major,Resolved,Fixed,22/Aug/18 15:50,22/Mar/22 08:57,
Bug,HIVE-22412,13264779,StatsUtils throw NPE when explain,xiepengjie,xiepengjie,Major,Resolved,Fixed,28/Oct/19 09:42,22/Mar/22 08:55,
Bug,HIVE-25561,13403417,Killed task should not commit file.,zhengchenyu,zhengchenyu,Major,Resolved,Fixed,27/Sep/21 04:04,22/Mar/22 08:52,
Bug,HIVE-22196,13256158,Socket timeouts happen when other drivers set DriverManager.loginTimeout,,Indigestion,Major,Resolved,Fixed,11/Sep/19 17:30,16/Feb/21 19:27,
Bug,HIVE-20304,13176667,"When hive.optimize.skewjoin and hive.auto.convert.join are both set to true, and the execution engine is mr, same stage may launch twice due to the wrong generated plan",BIGrey,BIGrey,Major,Resolved,Duplicate,03/Aug/18 09:21,16/Nov/18 15:22,
Bug,HIVE-15822,13040563,beeline ignore all sql under comment after semicolon,muxin,muxin,Major,Resolved,Fixed,06/Feb/17 08:44,15/Jun/18 23:41,
Bug,HIVE-18779,13140393,Hive does not enable ppd to underlying storage format by default,,KSLaskfla,Major,Resolved,Not A Problem,23/Feb/18 03:28,23/Feb/18 09:01,
Bug,HIVE-12767,12924972,Implement table property to address Parquet int96 timestamp bug,zsombor.klara,spena,Major,Resolved,Won't Fix,30/Dec/15 23:59,02/Feb/18 12:34,
Bug,HIVE-14274,12990579,"When columns are added to structs in a Hive table, HCatLoader breaks.",mithun,mithun,Major,Resolved,Duplicate,18/Jul/16 22:17,15/Dec/17 21:14,
Bug,HIVE-13989,12977453,Extended ACLs are not handled according to specification,cdrome,cdrome,Major,Resolved,Fixed,10/Jun/16 00:47,18/Sep/17 04:52,
Bug,HIVE-15247,13021882,Pass the purge option for drop table to storage handlers,ashutoshc,ashutoshc,Major,Resolved,Fixed,18/Nov/16 23:37,21/Jul/17 18:26,
Bug,HIVE-14686,13001954,"Get unexpected command type when execute query ""CREATE TABLE IF NOT EXISTS ... AS""",fanyunbojerry,fanyunbojerry,Major,Resolved,Fixed,01/Sep/16 09:33,21/Jul/17 18:12,
Bug,HIVE-14294,12990998,HiveSchemaConverter for Parquet doesn't translate TINYINT and SMALLINT into proper Parquet types,gszadovszky,lian cheng,Major,Resolved,Fixed,20/Jul/16 04:28,21/Jul/17 17:55,
Bug,HIVE-13456,12957001,JDBC: fix Statement.cancel,vgumashta,vgumashta,Major,Resolved,Fixed,07/Apr/16 20:33,26/May/17 13:56,
Bug,HIVE-14318,12992000,Vectorization: LIKE should use matches() instead of find(0),gopalv,gopalv,Major,Resolved,Invalid,23/Jul/16 01:01,27/Jul/16 00:10,
Bug,HIVE-14164,12986958,JDBC: Add retry in JDBC driver when reading config values from ZK,vgumashta,vgumashta,Major,Resolved,Duplicate,05/Jul/16 21:33,13/Jul/16 21:00,
Bug,HIVE-14019,12979462,HiveServer2: Enable Kerberos with SSL for TCP transport,vgumashta,vgumashta,Major,Resolved,Duplicate,15/Jun/16 18:08,07/Jul/16 00:20,
Bug,HIVE-14174,12987304,Fix creating buckets without scheme information,poeppt,poeppt,Major,Resolved,Duplicate,06/Jul/16 22:04,06/Jul/16 22:09,
Bug,HIVE-13779,12970584,Fraction of second is lost when you change column from timestamp to string,,taksaito,Major,Resolved,Not A Bug,18/May/16 00:26,24/May/16 15:49,
Bug,HIVE-11795,12863276,hive-1.2.1 compile spark-1.5.0 output error,tomzeng,rememberwen,Major,Resolved,Won't Fix,11/Sep/15 03:07,22/Dec/15 17:05,10/Sep/15 00:00
Bug,HIVE-22161,13253841,UDF: FunctionRegistry synchronizes on org.apache.hadoop.hive.ql.udf.UDFType class,gopalv,gopalv,Major,Resolved,Fixed,30/Aug/19 06:53,22/Mar/22 08:55,
Bug,HIVE-22480,13267623,IndexOutOfBounds exception while reading ORC files written with empty positions list in first row index entry,jcamachorodriguez,jcamachorodriguez,Major,Resolved,Fixed,12/Nov/19 07:37,21/Apr/20 00:10,
Bug,HIVE-17063,13085777,insert overwrite partition onto a external table fail when drop partition first,djaiswal,wanghaihua,Major,Resolved,Fixed,09/Jul/17 15:56,15/Dec/19 23:40,
Bug,HIVE-17985,13116302,"When check the partitions size in the partitioned table, it will throw  NullPointerException",wankunde,wankunde,Major,Resolved,Fixed,06/Nov/17 03:28,09/Nov/17 07:04,06/Nov/17 00:00
Bug,HIVE-20771,13192442,LazyBinarySerDe fails on empty structs.,cvaliente,cvaliente,Minor,Resolved,Fixed,18/Oct/18 07:26,22/Mar/22 08:57,
Bug,HIVE-13974,12976993,ORC Schema Evolution doesn't support add columns to non-last STRUCT columns,mmccline,mmccline,Blocker,Resolved,Duplicate,08/Jun/16 20:12,23/Nov/16 10:39,
Bug,HIVE-16102,13047962,Grouping sets do not conform to SQL standard,jcamachorodriguez,jcamachorodriguez,Critical,Resolved,Fixed,03/Mar/17 09:53,10/Aug/18 04:51,
Bug,HIVE-17293,13093880,ETL split strategy not accounting for empty base and non-empty delta buckets,prasanth_j,prasanth_j,Critical,Resolved,Duplicate,10/Aug/17 18:25,20/Sep/17 00:44,
Bug,HIVE-15956,13043817,StackOverflowError when drop lots of partitions,dkuzmenko,niklaus.xiao,Major,Resolved,Fixed,17/Feb/17 01:01,22/Mar/22 08:59,
Bug,HIVE-20345,13177833,Drop database may hang if the tables get deleted from a different call,aihuaxu,aihuaxu,Major,Resolved,Fixed,09/Aug/18 01:36,22/Mar/22 08:56,
Bug,HIVE-12451,12913943,Orc fast file merging/concatenation should be disabled for ACID tables,ekoifman,prasanth_j,Major,Resolved,Fixed,18/Nov/15 01:16,09/Jan/19 23:58,
Bug,HIVE-14556,12997850,Load data into text table fail caused by IndexOutOfBoundsException,niklaus.xiao,niklaus.xiao,Major,Resolved,Fixed,17/Aug/16 09:19,21/Jul/17 18:12,
Bug,HIVE-14570,12998142,"Create table with column names ROW__ID, INPUT__FILE__NAME, BLOCK__OFFSET__INSIDE__FILE sucess but query fails",niklaus.xiao,niklaus.xiao,Major,Resolved,Fixed,18/Aug/16 09:23,21/Jul/17 18:12,
Bug,HIVE-14634,13000129,TxnHandler.heartbeatTxnRange() can be done in 1 SQL statement,ekoifman,ekoifman,Major,Resolved,Fixed,25/Aug/16 18:49,21/Jul/17 18:12,
Bug,HIVE-13813,12971676,Add Metrics for the number of Hive operations waiting for compile,csun,csun,Major,Resolved,Fixed,20/May/16 21:54,21/Jul/17 17:45,
Bug,HIVE-13834,12972468,Use LinkedHashMap instead of HashMap for LockRequestBuilder to maintain predictable iteration order,wzheng,wzheng,Major,Resolved,Fixed,24/May/16 18:09,21/Jul/17 17:45,
Bug,HIVE-11863,12873211,FS based stats collection generates wrong results for tez (for union queries),pxiong,prasanth_j,Major,Resolved,Fixed,17/Sep/15 07:01,21/Jul/17 17:45,
Bug,HIVE-13335,12952662,tune TxnHandler.performTimeOuts() batch size,ekoifman,ekoifman,Major,Resolved,Fixed,23/Mar/16 01:25,21/Jul/17 17:45,
Bug,HIVE-16141,13049047,SQL auth whitelist configs should have a config for appending to existing list,,prasanth_j,Major,Resolved,Invalid,07/Mar/17 22:13,07/Mar/17 22:21,
Bug,HIVE-11966,12896446,JDBC Driver parsing error when reading principal from ZooKeeper,vgumashta,vgumashta,Major,Resolved,Fixed,25/Sep/15 17:59,07/Jul/16 00:32,
Bug,HIVE-12472,12914647,Add test case for HIVE-10592,prasanth_j,prasanth_j,Major,Resolved,Fixed,19/Nov/15 22:46,05/Apr/16 18:16,
Bug,HIVE-12453,12914011,Check SessionState status before performing cleanup,wzheng,wzheng,Major,Resolved,Invalid,18/Nov/15 05:57,18/Nov/15 23:03,
Bug,HIVE-11847,12873065,Avoid expensive call to contains/containsAll in DefaultGraphWalker,jcamachorodriguez,jcamachorodriguez,Major,Resolved,Won't Fix,16/Sep/15 18:10,22/Sep/15 14:50,
Bug,HIVE-14234,12989301,TestHiveMetaStorePartitionSpecs does not drop database created in this test causes other test failure,niklaus.xiao,niklaus.xiao,Minor,Resolved,Fixed,14/Jul/16 00:59,01/Oct/19 22:07,
Bug,HIVE-14658,13000620,UDF abs throws NPE when input arg type is string,niklaus.xiao,niklaus.xiao,Minor,Resolved,Fixed,27/Aug/16 07:14,21/Jul/17 18:12,
Bug,HIVE-14295,12991089,Some metastore event listeners always initialize deleteData as false,niklaus.xiao,niklaus.xiao,Minor,Resolved,Fixed,20/Jul/16 11:43,21/Jul/17 17:55,
Bug,HIVE-12614,12920015,RESET command does not close spark session,stakiar,nemon,Minor,Resolved,Fixed,08/Dec/15 09:27,21/Jul/17 17:45,
Bug,HIVE-13023,12937631,"Unable to create tables using ""STORED AS""",sershe,prasanth_j,Blocker,Resolved,Cannot Reproduce,08/Feb/16 20:50,08/Feb/16 22:33,
Bug,HIVE-11423,12850502,Ship hive-storage-api along with hive-exec jar to all Tasks,,gopalv,Blocker,Resolved,Duplicate,31/Jul/15 04:12,01/Aug/15 01:30,
Bug,HIVE-11038,12838594,MiniTezCli tests are hanging,wzheng,wzheng,Blocker,Resolved,Done,17/Jun/15 21:36,18/Jun/15 00:33,
Bug,HIVE-15756,13039001,Update/deletes on ACID table throws ArrayIndexOutOfBoundsException,ekoifman,kavansuresh@gmail.com,Critical,Resolved,Not A Bug,30/Jan/17 21:01,18/Aug/17 11:03,
Bug,HIVE-12572,12917733,select partitioned acid table order by throws java.io.FileNotFoundException,gates,taksaito,Critical,Resolved,Duplicate,02/Dec/15 21:17,10/Dec/15 20:18,
Bug,HIVE-18735,13139147,Create table like loses transactional attribute,lpinter,ekoifman,Major,Resolved,Fixed,16/Feb/18 20:45,22/Mar/22 08:57,
Bug,HIVE-21033,13203987,Forgetting to close operation cuts off any more HiveServer2 output,szehon,szehon,Major,Resolved,Fixed,12/Dec/18 13:05,22/Mar/22 08:57,
Bug,HIVE-13280,12949946,Error when more than 1 mapper for HBase storage handler,damien.carol,damien.carol,Major,Resolved,Invalid,14/Mar/16 16:52,02/Oct/17 16:26,
Bug,HIVE-15766,13039163,DBNotificationlistener leaks JDOPersistenceManager,vgumashta,vgumashta,Major,Resolved,Fixed,31/Jan/17 11:56,19/Sep/17 06:19,
Bug,HIVE-15329,13024796,NullPointerException might occur when create table,winningalong,winningalong,Major,Resolved,Fixed,01/Dec/16 14:52,21/Jul/17 18:26,
Bug,HIVE-15096,13016317,hplsql registerUDF conflicts with pom.xml,ferhui,ferhui,Major,Resolved,Fixed,29/Oct/16 03:00,21/Jul/17 18:26,
Bug,HIVE-15054,13015122,Hive insertion query execution fails on Hive on Spark,aihuaxu,aihuaxu,Major,Resolved,Fixed,25/Oct/16 15:53,21/Jul/17 18:26,
Bug,HIVE-12603,12919477,Add config to block queries that scan > N number of partitions ,,lskuff,Major,Resolved,Duplicate,06/Dec/15 00:07,28/Nov/16 17:20,
Bug,HIVE-15110,13017092,JDBC standalone jar is missing classes from hadoop-commons jar.,,ggregory,Major,Resolved,Duplicate,02/Nov/16 04:50,02/Nov/16 05:58,
Bug,HIVE-14742,13004595,Hive on spark throws NPE exception for union all query ,,aihuaxu,Major,Resolved,Duplicate,13/Sep/16 13:52,13/Sep/16 15:09,
Bug,HIVE-14620,12999755,metrics errors because of conflicts with hadoops older metrics jar,thejas,thejas,Major,Resolved,Invalid,24/Aug/16 19:05,24/Aug/16 19:43,
Bug,HIVE-12393,12912522,Simplify ColumnPruner when CBO optimizes the query,jcamachorodriguez,jcamachorodriguez,Major,Resolved,Duplicate,12/Nov/15 16:43,08/Jul/16 20:21,
Bug,HIVE-14133,12985259,Don't fail config validation for removed configs,ashutoshc,ashutoshc,Major,Resolved,Duplicate,29/Jun/16 22:50,07/Jul/16 22:36,
Bug,HIVE-13829,12972303,"Property ""hive.mapjoin.optimized.keys"" does not exist",sladymon,BigDataOrange,Major,Resolved,Not A Problem,24/May/16 07:22,02/Jun/16 17:02,
Bug,HIVE-12639,12920561,Handle exceptions during SARG creation,prasanth_j,prasanth_j,Major,Resolved,Duplicate,09/Dec/15 21:48,24/May/16 15:55,
Bug,HIVE-13768,12970094,Distinct functions don't work properly after hive.map.groupby.sorted is default to true,,aihuaxu,Major,Resolved,Not A Problem,16/May/16 18:13,17/May/16 21:19,
Bug,HIVE-12896,12932895,IndexArrayOutOfBoundsException during vectorized map join,gopalv,jdere,Major,Resolved,Duplicate,20/Jan/16 22:30,12/May/16 10:58,
Bug,HIVE-11165,12842183,Calcite planner might have a thread-safety issue compiling in parallel,jcamachorodriguez,gopalv,Major,Resolved,Cannot Reproduce,02/Jul/15 04:12,03/May/16 22:35,
Bug,HIVE-13235,12948164,Insert from select generates incorrect result when hive.optimize.constant.propagation is on,aihuaxu,aihuaxu,Major,Resolved,Duplicate,08/Mar/16 21:26,03/May/16 13:58,
Bug,HIVE-13408,12955447,Issue appending HIVE_QUERY_ID without checking if the prefix already exists,vikram.dixit,vikram.dixit,Major,Resolved,Invalid,01/Apr/16 23:58,26/Apr/16 22:44,
Bug,HIVE-12569,12917677,Excessive console message from SparkClientImpl [Spark Branch],xuefuz,xuefuz,Major,Resolved,Duplicate,02/Dec/15 19:05,31/Mar/16 02:38,
Bug,HIVE-13071,12939775,Impossible cast from LongColumnVector to TimestampColumnVector in VectorColumnAssignFactory.buildObjectAssign method,mmccline,Jayer,Major,Resolved,Fixed,17/Feb/16 10:25,29/Mar/16 08:14,29/Feb/16 00:00
Bug,HIVE-13225,12947893,LLAP: Stripe metadata cache holds unreachable keys ,gopalv,gopalv,Major,Resolved,Invalid,08/Mar/16 03:28,08/Mar/16 20:16,
Bug,HIVE-12405,12912738,Comparison bug in HiveSplitGenerator.InputSplitComparator#compare(),Aleksei,Aleksei,Major,Resolved,Fixed,13/Nov/15 07:11,19/Nov/15 22:17,
Bug,HIVE-12452,12914010,orc_merge9.q hangs when writing orc metadata section,prasanth_j,prasanth_j,Major,Resolved,Implemented,18/Nov/15 05:55,18/Nov/15 19:44,
Bug,HIVE-12394,12912554,0 is added when you insert decimal value which number of fractional digits is less than defined scale,,taksaito,Major,Resolved,Not A Problem,12/Nov/15 18:16,12/Nov/15 20:47,
Bug,HIVE-12068,12903397,Investigate remote_script.q result,,aihuaxu,Major,Resolved,Cannot Reproduce,08/Oct/15 15:29,20/Oct/15 14:48,
Bug,HIVE-11446,12851209,"""Select distinct"" always gives OOM error in the local run",,aihuaxu,Major,Resolved,Cannot Reproduce,03/Aug/15 21:07,04/Aug/15 14:13,
Bug,HIVE-11237,12844693,"Unable to drop a default partition with ""int"" type",aihuaxu,aihuaxu,Major,Resolved,Duplicate,13/Jul/15 16:30,13/Jul/15 17:10,
Bug,HIVE-11021,12838180,ObjectStore should call closeAll() on JDO query object to release the resources,aihuaxu,aihuaxu,Major,Resolved,Duplicate,16/Jun/15 14:20,16/Jun/15 14:33,
Bug,HIVE-21157,13211425,Slf4j warning again from 2.X.X,ryu_kobayashi,ryu_kobayashi,Minor,Resolved,Won't Fix,24/Jan/19 01:22,25/Jan/19 02:35,
Bug,HIVE-16107,13048163,JDBC: HttpClient should retry one more time on NoHttpResponseException,vgumashta,vgumashta,Major,Resolved,Fixed,03/Mar/17 20:23,21/Jul/17 18:46,
Bug,HIVE-14820,13006940,RPC server for spark inside HS2 is not getting server address properly,aihuaxu,aihuaxu,Major,Resolved,Fixed,22/Sep/16 19:45,21/Jul/17 18:12,
Bug,HIVE-16239,13056933,remove useless hiveserver,ferhui,ferhui,Major,Resolved,Fixed,17/Mar/17 08:40,22/Apr/17 01:43,
Bug,HIVE-14049,12980279,Password prompt in Beeline is continuously printed,,ayousufi,Major,Resolved,Cannot Reproduce,17/Jun/16 18:43,22/Mar/17 19:56,
Bug,HIVE-15105,13016946,Hive shell runs out of memory on Tez,,premal,Major,Resolved,Fixed,01/Nov/16 17:20,09/Mar/17 08:46,
Bug,HIVE-14829,13007177,metastore.sh fails due to classpath conflict with hive-service-rpc,spena,spena,Major,Resolved,Invalid,23/Sep/16 15:18,23/Sep/16 18:54,
Bug,HIVE-14903,13010125,from_utc_time function issue for CET daylight savings,,ericlin,Minor,Resolved,Fixed,06/Oct/16 10:24,12/Oct/17 05:36,
Bug,HIVE-13987,12977420,Clarify current error shown when HS2 is down,ayousufi,ayousufi,Minor,Resolved,Fixed,09/Jun/16 22:38,21/Jul/17 17:45,
Bug,HIVE-18768,13140102,Use Datanucleus to serialize notification updates,akolb,akolb,Major,Resolved,Fixed,22/Feb/18 04:17,21/Aug/18 22:17,
Bug,HIVE-13945,12975668,Decimal value is displayed as rounded when selecting where clause with that decimal value.,sershe,taksaito,Critical,Resolved,Fixed,03/Jun/16 23:59,24/Feb/22 03:51,
Bug,HIVE-14150,12986335,Hive does not compile against Hadoop-2.9.0-SNAPSHOT,aajisaka,sseth,Critical,Resolved,Won't Fix,01/Jul/16 21:29,23/Aug/21 16:29,
Bug,HIVE-14980,13012644,Minor compaction when triggered simultaniously on the same table/partition deletes data,mahipal.jupalli,mahipal.jupalli,Critical,Resolved,Not A Bug,15/Oct/16 23:00,02/Oct/17 19:21,
Bug,HIVE-14121,12984791,"Error occurs when it use the Tez, MapJoin and Vectorization.",,ryu_kobayashi,Critical,Resolved,Won't Fix,29/Jun/16 06:57,23/Nov/16 10:38,
Bug,HIVE-13928,12975241,Hive2: float value need to be single quoted inside where clause to return rows when it doesn't have to be,,taksaito,Critical,Resolved,Not A Problem,02/Jun/16 17:40,22/Jun/16 01:18,
Bug,HIVE-13119,12941229,java.io.IOException: java.io.IOException: ORC does not support type conversion from CHAR to VARCHAR (due to Schema Evolution HIVE-11981),mmccline,mmccline,Critical,Resolved,Cannot Reproduce,22/Feb/16 23:52,03/May/16 23:01,
Bug,HIVE-12846,12929435,org.apache.orc.impl.TimestampTreeWriter.writeBatch handles adjusts nanos differently for isRepeated,omalley,mmccline,Critical,Resolved,Fixed,12/Jan/16 09:52,27/Apr/16 21:40,
Bug,HIVE-20628,13187047,Parsing error when using a complex map data type under dynamic column masking,,darryl.dutton@t4g.com,Major,Resolved,Invalid,24/Sep/18 14:15,07/Jul/22 15:24,
Bug,HIVE-21009,13202556,LDAP - Specify binddn for ldap-search,mcginnda,tuhren,Major,Resolved,Fixed,05/Dec/18 14:50,22/Mar/22 08:57,
Bug,HIVE-19860,13165417,HiveServer2 ObjectInspectorFactory memory leak with cachedUnionStructObjectInspector,Rajkumar Singh,Rajkumar Singh,Major,Resolved,Fixed,11/Jun/18 20:59,22/Mar/22 08:57,
Bug,HIVE-22207,13256777,"Tez: SplitGenerator throws NumberFormatException when ""dfs.block.size"" on cluster is ""128m""",nareshpr,praneetsharma,Major,Resolved,Fixed,16/Sep/19 04:38,22/Mar/22 08:55,
Bug,HIVE-22165,13254068,Synchronisation introduced by HIVE-14296 on SessionManager.closeSession causes high latency in a busy hive server,amrk7,amrk7,Major,Resolved,Fixed,31/Aug/19 15:00,22/Mar/22 08:55,
Bug,HIVE-14463,12995571,hcatalog server extensions test cases getting stuck,hsubramaniyan,prongs,Major,Resolved,Fixed,08/Aug/16 08:21,01/Oct/19 22:07,
Bug,HIVE-18572,13134560,"The record readers; InputFormat needs to be fixed for Tez as it generates 1 split",,gurmukhd,Major,Resolved,Invalid,29/Jan/18 20:58,06/Mar/19 04:46,
Bug,HIVE-20080,13169958,"TxnHandler checkLock direct sql fail with ORA-01795 , if the table has more than 1000 partitions",Rajkumar Singh,Rajkumar Singh,Major,Resolved,Fixed,03/Jul/18 23:39,15/Nov/18 07:36,
Bug,HIVE-19743,13163008,hive is not pushing predicate down to HBaseStorageHandler if hive key mapped with hbase is stored as varchar,Rajkumar Singh,Rajkumar Singh,Major,Resolved,Invalid,30/May/18 21:30,11/Jun/18 22:10,
Bug,HIVE-14307,12991429,Account for top operator network cost to choose side table in MapJoin conversion,jcamachorodriguez,jcamachorodriguez,Major,Resolved,Won't Fix,21/Jul/16 12:41,28/May/18 17:01,
Bug,HIVE-15862,13041692,"beeline always have a warning ""Hive does not support autoCommit=false""",yangfang,yangfang,Major,Resolved,Fixed,09/Feb/17 13:00,14/Nov/17 21:55,
Bug,HIVE-15402,13026877,LAG's PRECEDING does not work.,,ryu_kobayashi,Major,Resolved,Won't Fix,09/Dec/16 05:33,30/Oct/17 23:47,
Bug,HIVE-14416,12994704,NPE trying to move results of a subselect into an RDBMS using HPL/SQL,dmtolpeko,cartershanklin,Major,Resolved,Not A Problem,03/Aug/16 21:08,11/Sep/17 10:24,
Bug,HIVE-17279,13093387,spark/bin/beeline throws Unknown column 'A0.IS_REWRITE_ENABLED' in 'field list',,__saurab,Major,Resolved,Invalid,09/Aug/17 07:33,09/Aug/17 07:40,
Bug,HIVE-14529,12996871,Union All query returns incorrect results.,,liwenhe,Major,Resolved,Duplicate,12/Aug/16 08:17,26/Jul/17 15:15,
Bug,HIVE-16163,13049815,Remove unnecessary parentheses in HiveParser,pxiong,pxiong,Major,Resolved,Fixed,10/Mar/17 00:06,21/Jul/17 18:46,
Bug,HIVE-15903,13042771,Compute table stats when user computes column stats,pxiong,pxiong,Major,Resolved,Fixed,14/Feb/17 02:30,21/Jul/17 18:36,
Bug,HIVE-15257,13022402,remove useless cleanupReaders in OrcEncodedDataReader,ferhui,ferhui,Major,Resolved,Fixed,22/Nov/16 05:59,21/Jul/17 18:26,
Bug,HIVE-15237,13021630,Propagate Spark job failure to Hive,lirui,xuefuz,Major,Resolved,Fixed,18/Nov/16 00:05,21/Jul/17 18:26,
Bug,HIVE-15030,13014200,Fixes in inference of collation for Tez cost model,jcamachorodriguez,jcamachorodriguez,Major,Resolved,Fixed,21/Oct/16 12:08,21/Jul/17 18:26,
Bug,HIVE-14617,12999723,NPE in UDF MapValues() if input is null,xuefuz,xuefuz,Major,Resolved,Fixed,24/Aug/16 16:30,21/Jul/17 18:12,
Bug,HIVE-14126,12985086,"With ranger enabled, partitioned columns is returned first when you execute select star",pxiong,pxiong,Major,Resolved,Fixed,29/Jun/16 17:59,21/Jul/17 17:55,
